train,stations
train_1,"[Vlissingen, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch]"
train_2,"[Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_3,"[Dordrecht, Breda, Tilburg, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_4,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander]"
train_5,"[Almelo, Zwolle, Assen]"
train_6,"[Amsterdam Amstel, Utrecht Centraal, Amersfoort, Apeldoorn, Deventer, Almelo, Hengelo, Enschede]"
train_7,"[Den Helder, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Leiden Centraal]"
train_8,"[Dordrecht, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal, Leiden Centraal, Alphen a/d Rijn, Gouda]"
train_9,"[Den Haag Laan v NOI, Leiden Centraal, Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Roosendaal]"
train_10,"[Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Hilversum, Utrecht Centraal, Gouda]"
train_11,"[Assen, Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle]"
train_12,"[Hilversum, Amsterdam Amstel, Amsterdam Centraal, Utrecht Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen]"
train_13,"[Castricum, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn, Utrecht Centraal]"
train_14,"[Alkmaar, Hoorn, Zaandam, Beverwijk]"
train_15,"[Deventer, Zwolle, Amersfoort, Utrecht Centraal, s-Hertogenbosch]"
train_16,"[Den Haag Centraal, Gouda, Den Haag Laan v NOI, Delft, Schiedam Centrum, Rotterdam Centraal]"
train_17,"[Deventer, Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal, Schiphol Airport]"
train_18,"[Heerlen, Sittard]"

score,6514.0
